STATUS | wrapper  | 2013/03/21 09:40:47 | ActiveMQ installed.
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | Caused by: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:341)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:302)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:111)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:104)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractRefreshableApplicationContext.refreshBeanFactory(AbstractRefreshableApplicationContext.java:130)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractApplicationContext.obtainFreshBeanFactory(AbstractApplicationContext.java:467)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:397)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:64)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:52)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.xbean.XBeanBrokerFactory.createApplicationContext(XBeanBrokerFactory.java:96)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.xbean.XBeanBrokerFactory.createBroker(XBeanBrokerFactory.java:52)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.broker.BrokerFactory.createBroker(BrokerFactory.java:71)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.broker.BrokerFactory.createBroker(BrokerFactory.java:54)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.StartCommand.startBroker(StartCommand.java:115)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.StartCommand.runTask(StartCommand.java:74)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	... 16 more
INFO   | jvm 1    | 2013/03/21 13:40:45 | Caused by: java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.core.io.ClassPathResource.getInputStream(ClassPathResource.java:141)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:328)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	... 30 more
INFO   | jvm 1    | 2013/03/21 13:40:45 | ERROR: java.lang.Exception: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | java.lang.Exception: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.StartCommand.runTask(StartCommand.java:99)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.ShellCommand.runTask(ShellCommand.java:143)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.AbstractCommand.execute(AbstractCommand.java:57)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.command.ShellCommand.main(ShellCommand.java:85)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.Main.runTaskClass(Main.java:251)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.console.Main.main(Main.java:107)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2013/03/21 13:40:45 | Caused by: org.springframework.beans.factory.BeanDefinitionStoreException: IOException parsing XML document from class path resource [activemq.xml]; nested exception is java.io.FileNotFoundException: class path resource [activemq.xml] cannot be opened because it does not exist
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:341)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:302)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:111)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.loadBeanDefinitions(ResourceXmlApplicationContext.java:104)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractRefreshableApplicationContext.refreshBeanFactory(AbstractRefreshableApplicationContext.java:130)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractApplicationContext.obtainFreshBeanFactory(AbstractApplicationContext.java:467)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:397)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:64)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.xbean.spring.context.ResourceXmlApplicationContext.<init>(ResourceXmlApplicationContext.java:52)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.xbean.XBeanBrokerFactory.createApplicationContext(XBeanBrokerFactory.java:96)
INFO   | jvm 1    | 2013/03/21 13:40:45 | 	at org.apache.activemq.xbean.XBeanBrokerFactory.createBroker(XBeanBrokerFactory.java:52)
